method,dropout,recurant_dropout,loss_weight,size,MAPE
medians,nan,nan,nan,nan,26.37532518182463
NN,0,nan,nan,small,22.801462020945735
LSTM,0,0.125,nan,small,24.56673853282881
NN,0,nan,nan,medium,22.443352344986497
LSTM,0,0.125,nan,medium,24.16754155609945
NN,0,nan,nan,large,22.28858049234189
LSTM,0,0.125,nan,large,24.50917181197013
